slug,score,prose,fences,evidence,refs,visual,chars,n_fences,n_refs,title
a2a-discovery-delegation,4,1,0,1,1,1,825,0,3,"A2A 两步：先拉卡发现，再按卡委派"
capability-map-interview,4,2,0,1,1,0,1603,0,4,"后端能力地图：279 篇生产文章编成的面试叙事"
cell-based-architecture-bulkhead,4,2,1,1,0,0,2321,2,2,"Cell-Based Architecture：故障隔离的基建层"
crdt-gcounter-merge,4,1,1,1,1,0,968,1,3,"G-Counter 三定律：合并顺序无关、重复合并幂等、槽位隔离"
etcd-37-upgrade-checklist,4,1,1,1,1,0,866,1,3,"etcd 3.7：RangeStream 分块读与升级前的 flag 审计"
eval-set-leakage,4,2,0,1,0,1,2319,0,2,"模型没变好，分数先变好：评测集泄漏的膨胀曲线实测"
go-runtime-trio-127,4,2,0,1,1,0,1666,0,3,"Go 1.27 运行时三则：同步 timer、带标签 panic、分级日志"
go-stdlib-uuid-mldsa,4,1,1,1,1,0,1089,1,4,"Go 1.27 标准库两新件：有序 uuid 与后量子签名"
go-test-synctest-fuzz,4,1,1,1,1,0,931,1,3,"Go 测试两件套：虚拟时钟与模糊测试"
gossip-rounds-infection,4,1,0,1,1,1,827,0,3,"gossip 感染轮次：100 节点 fanout=1 用 16 轮，fanout=3 用 7 轮"
http-four-mechanisms,4,1,2,1,0,0,1250,4,0,"HTTP 四则：复用、流、续传、跨域"
k8s-137-dra-gang-scheduling,4,1,1,1,1,0,1110,1,3,"K8s 1.37：DRA 转正与 gang 调度的 Beta 入场券"
kafka-queues-share-groups,4,1,1,1,1,0,935,1,3,"Kafka 4.1 Queues：不数分区也能点对点"
llm-12-eval-estimation-gates,4,2,0,1,1,0,1608,0,5,"eval 两件事：估计要准，门要严"
llm-15-context-eviction,4,1,1,1,1,0,1273,1,5,"上下文驱逐看价值不看数量：头尾策略拿走 81% 价值"
llm-16-model-silent-reroute,4,1,1,1,1,0,850,1,3,"模型 ID 会静默换芯：deepseek-v4-pro 切 Flash 的教训"
llm-error-shape-feeds-model,4,1,1,1,1,0,951,1,3,"错误形状喂模型：粗码自愈 0/5，加 hint 到 5/5"
